Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Thiago,Lapp,kinG,Argentina,1021000,Fortnite,Battle Royale
David,Wang,Aqua,Austria,1923774.23,Fortnite,Battle Royale
Klaus,Konstanzer,stompy,Austria,492271.94,Fortnite,Battle Royale
Thomas,Hörak,Tschiiinken,Austria,326176.94,Fortnite,Battle Royale
Anathan,Pham,ana,Australia,6000411.96,Dota 2,Multiplayer Online Battle Arena
Damien,Chok,kpii,Australia,1809225.3,Dota 2,Multiplayer Online Battle Arena
Scott,Kennedy,Custa,Australia,53759.68,Overwatch,First-Person Shooter
Liam,Simpson,Arcaner,Australia,57228,Heroes of the Storm,Multiplayer Online Battle Arena
Luke,Newey,Luke12,Australia,79049.82,PUBG,Battle Royale
Nikola,Kovač,NiKo,Bosnia,762802.56,Counter-Strike Global Offensive,First-Person Shooter
Adil,Benrlitom,ScreaM,Belgio,249663.46,Counter-Strike Global Offensive,First-Person Shooter
Gabriël,Rau,Bwipo,Belgio,287279.5,League of Legends,Multiplayer Online Battle Arena
Stephan,,Suezhoo,Belgio,341250,Fortnite,Battle Royale
Klaivert,Dervishi,Teeqzy,Belgio,179596.3,Fortnite,Battle Royale
Howard,Castiaux,Noward,Belgio,172385.27,Fortnite,Battle Royale
Cvetelin,Nikolov,CeRq,Bulgaria,375765.04,Counter-Strike Global Offensive,First-Person Shooter
Valentin,Vasilev,poiz0n,Bulgaria,260987.54,Counter-Strike Global Offensive,First-Person Shooter
Ivan,Ivanov,MinD_ContRoL,Bulgaria,4579118.16,Dota 2,Multiplayer Online Battle Arena
Zdravec,Gulubov,Hylissang,Bulgaria,325910.24,League of Legends,Multiplayer Online Battle Arena
Lyubomir,Kozlovski,Splendour,Bulgaria,106462.18,Heroes of the Storm,Multiplayer Online Battle Arena
Alexander,Milanov,ethernal,Bulgaria,93149.29,Heroes of the Storm,Multiplayer Online Battle Arena
Epitácio,de Melo,TACO,Brasile,1063858.27,Counter-Strike Global Offensive,First-Person Shooter
Fernando,Alvarenga,fer,Brasile,1063038.92,Counter-Strike Global Offensive,First-Person Shooter
Gabriel,Toledo,FalleN,Brasile,1059938.92,Counter-Strike Global Offensive,First-Person Shooter
Marcelo,David,coldzera,Brasile,1021901.46,Counter-Strike Global Offensive,First-Person Shooter
Lincoln,Lau,fnx,Brasile,387551.81,Counter-Strike Global Offensive,First-Person Shooter
Ricardo,Prass,boltz,Brasile,382208.97,Counter-Strike Global Offensive,First-Person Shooter
João,Vasconcellos,felps,Brasile,323127.22,Counter-Strike Global Offensive,First-Person Shooter
Henrique,Teles,hen1,Brasile,256374.45,Counter-Strike Global Offensive,First-Person Shooter
João Pedro,Telles,Hydration,Brasile,61460.24,Overwatch,First-Person Shooter
